name,address,characteristics,time,transport,tags,reference
麵屋木心 ラーメン専門店(十一月未定),600嘉義市西區延平街275號,預計於11月左右復業，並遷移至新址。開業於2019年7月，是台灣少數以煮干系為主打湯頭的店家，詳情可察看下方網友食記。,17:00~24:00週一、四、日 公休,待確認,#ramentw #台灣拉麵愛好會 #拉麵 #煮干,吳清宏 - 淡麗醬油+魚介沾麵   https://bit.ly/30IATsh   Stars Yang - 雞塩拉麵   https://bit.ly/2VXsnTn   Stars Yang - 醬油煮干   https://bit.ly/2xFbvat   
一拉面,704台南市北區長榮路五段35號,開業於2018年01月24日，好喝又順口的豚骨湯，不單只有食材的精選及挑選，最為重要是火侯的控制及用心。,"11:30-14:00, 17:30-21:00週三 休息",開元振興公園，5路公車，富台新村下車,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,徐尚聿 - 豚骨雞白湯拉麵   https://bit.ly/3k9A0jT   林子祥 - 豚骨拉麵   http://bit.ly/2Pw2xjf   龍司 - 赤辛豚骨拉麵   http://bit.ly/2B7pynq   
Nani麵,700台南市中西區新美街163號,"台南少有的主打""沾麵""的拉麵店，味道是豚骨魚介的口味。沾麵可以選擇的肉品項有：牛、雞、豬可以選擇，豬肉則是五花肉是比較特別的地方。整體風格呈現類似台北麵屋緣。","11:00-14:30, 16:30-19:10",赤崁樓，3或5路公車,#ramentw #台灣拉麵愛好會 #沾麵 #豚骨 #豚骨魚介 #咖哩,吳清宏 - 豚骨魚介赤辛沾麵豬+秘制花雕沾麵牛   https://bit.ly/34cJYeZ   Athena Wu - 秘製花雕沾麵-豚   https://bit.ly/2XJZSZx   吳俊青 - 招牌豚骨魚介沾麵   https://bit.ly/2B4dlQf   
虎川亭(2021年預計),632雲林縣虎尾鎮民生路8-4號,目前老闆養病中，預計2021年重開。粉專建立於2018年9月，開業約於2019年5月，是以雞湯系為主體，偏向淡麗味覺，並有藍色雞湯拉麵為主的各式創新拉麵，是雲林在地難得一見的創意料理店家，詳情可察看下方網友食記。,11:00~14:00、17:00~20:00,美芝城,#ramentw #台灣拉麵愛好會 #拉麵 #雞骨 #限定,Stars Yang - 辛口醬油拉麵+西班牙生火腿拉麵   https://bit.ly/2Z3ZAz0   Abby Liu - 戰斧雞腿拉麵   https://bit.ly/2vVH3bI   Stars Yang - 西班牙生火腿拉麵+芳醇醬油拉麵   http://bit.ly/3a2I0Oc   
麵家宇味,700台南市中西區民族路三段62號,開業於2012年7月23日，原本叫宇味拉麵，是一家日式拉麵店，2014年5月整修後改麵家宇味，詳情參閱下方麵有食記。,"週四-週二 11:30-14:30, 17:30-21:00週三 休息(不定期)","永樂市場，77, 藍23, 藍24公車，在永樂市場下車",#ramentw #台灣拉麵愛好會,蔡佩岑 - 番茄起司拉麵   https://bit.ly/2E9mIkR   Shih-Yao Frank Lin - 濃厚叉燒豚骨拉麵   https://bit.ly/2BXjvDJ   
麵屋柴 雞白湯拉麵專賣店,632雲林縣虎尾鎮仁愛路61號,開業於2018年10月26日，是一群愛柴犬也愛拉麵的年輕人開的拉麵店，湯頭是手工熬湯，以用全雞、蔬菜熬製。,"星期五-三 11:30–14:00, 17:30–21:00星期四 休息",雲林布袋戲館，台西客運虎尾站(9015路),#ramentw #台灣拉麵愛好會,李俊 - 奶油蛤蜊雞白湯拉麵   https://bit.ly/2rt1UgU   洪國軒 - 奶油蛤蜊雞白湯   http://bit.ly/2WLT63K   
北極星拉麵HOKKYOKUSEI,708台南市安平區建平路254號,開幕於2020年2月15日，主軸為豚骨與雞湯，詳情可察看下方網友食記。,11:30~14:00、17:30~21:00,建平七街、建平路,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞清,由你來寫第一篇   
山形心心拉麵-嘉義新光店,600嘉義市西區垂楊路726號,此店位於新光三越。將製麵者的心跟客人的心連繫在一起，為紀念此願景日本山形總店取名為心心，在台灣也希望能用此日本傳統精神將日本跟台灣人的心彼此更加靠近，故與日本總店取同名。,11:00 - 22:00,新光三越嘉義垂楊店,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #二郎風,楊德輝 - 辛味噌拉麵   https://bit.ly/2MOnHdw   林小逼 - 魚豚野郎(中)   https://bit.ly/2MrYVBz   Candy Yang - 魚豚野郎(大)   https://bit.ly/2Ma1FE2   Nora Neko -定豚野郎拉麵   https://bit.ly/2vE1HtL   
圓拉麵,640雲林縣斗六市九如街4號,開業於2016年4月1日，主打雞魚雙湯頭，是一心一勝的徒弟店。雞湯圓潤滑順，色澤金黃，口感醇厚，屬白湯類型；魚湯鮮麗美妙，色澤灰白，口感甘甜，屬濁湯類型。此外店主也有開發特色新品，像花雕雞就是好評的限定之一。,11:30-13:30，17:00-20:00週三 休息,雲林溪美食廣場旁邊,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #魚介雞湯 #限定,Stars Yang - 醬油雞湯拉麵   http://bit.ly/2QoumPH   吳俊青 - 雞湯拉麵+魚湯拉麵   http://bit.ly/2rvPgO7   Clover Yuan - 蒜香濃厚雞白湯拉麵+辛魚湯拉麵   http://bit.ly/2L9zbql   
小卷拉麵屋,640雲林縣斗六市民生路48-1號,是當地特色及平價的拉麵店，詳情參閱下方麵友食記。,11:00~14:00、17:00~20:00週六 休息,小北百貨斗六店,#ramentw #台灣拉麵愛好會 #拉麵,Weight Wang - 背脂豚骨拉麵   https://bit.ly/2UsCEo0   
富士達人日本拉麵-東寧總店,701台南市東區東寧路504號,粉專建立於2011年1月，主軸為豚骨，詳情可察看下方網友食記。,週一~五 11:00~14:30、17:00~21:30週六~日 11:00–22:00,東光路、東寧路,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,由你來寫第一篇   
中華そば太郎拉麵,700台南市中西區新美街2號,為當地少數素食拉麵店之一，店內裝潢走80年代復古日本風。,週一-五 18:30-21:00週六-日 12:30-14:30、18:30-21:30,郭綜合醫院，5，7，14，18，藍24路公車，西門民權路口站下車,#ramentw #台灣拉麵愛好會 #拉麵 #素食,柯學良-柚子椒鹽拉麵   https://bit.ly/3kYN4sV   
Mr. 拉麵 絆(台南勝利店),701台南市東區勝利路54-1號,始於2012年10月在台北公館，老闆曾當過記者和東京都議員，在台北念博士班期間開平價拉麵店，很受學生客群歡迎，2013年進軍台南開設勝利分店，成功打開台南市場而快速展店，2017年6月28日改名為Mr拉麺の野崎家，原Mr拉麺成姊妹店。,11:15-14:30、17:00-21:00,台南一中，成功大學；6路公車，台南一中站下車,#ramentw #台灣拉麵愛好會 #拉麵,無   
東京豚骨拉麵の野崎家(崇德店),701台南市東區崇德路567號,始於2012年10月在台北公館，老闆曾當過記者和東京都議員，在台北念博士班期間開平價拉麵店，很受學生客群歡迎，2013年進軍台南開設勝利分店，成功打開台南市場而快速展店，而後改名為Mr拉麺の野崎家，原Mr.拉麵成姊妹店，本店開業於2015年10月7日。,"週一-五11:15-14:30, 17:00-20:45週六-日11:30-15:00, 17:00-21:00",華生動物醫院；3路公車，崇德十街口站下車,#ramentw #台灣拉麵愛好會,Tsai Sunta - 博多豚骨醬油拉麵／博多豚骨味僧拉麵   https://bit.ly/2EbX6UO   
Mr. 拉麵 絆(台南海佃店),709台南市安南區海佃路一段158巷7號,始於2012年10月在台北公館，老闆曾當過記者和東京都議員，在台北念博士班期間開平價拉麵店，很受學生客群歡迎，2013年進軍台南開設勝利分店，成功打開台南市場而快速展店，本店除拉麵之外，還有丼飯和烏龍麵。,11:30-14:30、17:00-20:45,丹丹漢堡安南店；3，10，藍23，藍24公車，協成社區站下車,#ramentw #台灣拉麵愛好會 #拉麵,無   
Mr. 麵王(永康店),710台南市永康區中華二路258號,開業於2014年7月1日，原本是Mr拉麵分店之一，而後發展為為Mr.麵王之品牌。,週一-五 11:20-14:30、17:00-20:45週六-日 11:00-15:00、17:00-21:00,家樂福中華店,#ramentw #台灣拉麵愛好會 #拉麵,無   
Mr.RAMEN 豚骨拉麵店,600嘉義市西區仁愛路229號,始於2012年10月始於台北公館開店，老闆曾當過記者和東京都議員，在台北念博士班期間開平價拉麵店，很受學生客群歡迎，本店開業於2018年6月底。,11:30-14:30、17:00-20:45,嘉義遠東百貨公司,#ramentw #台灣拉麵愛好會,無   
Mr. 拉麵 雲,640雲林縣斗六市中堅西路743號,始於2012年10月在台北公館，老闆曾當過記者和東京都議員，在台北念博士班期間開平價拉麵店，很受學生客群歡迎，2013年進軍台南開設勝利分店，成功打開台南市場而快速展店，本店開業於2017年8月15日，為Mr.拉麵姊妹店。,週一-五 11:00~14:30，17:00~21:00週六-日 11:00~15:00，17:00~21:00,家樂福 斗六店,無提供標籤資訊,無
大麦小麦日式酒食,60045嘉義市東區融和街57號,開業於2019年5月，是一間不定期推出拉麵限定的居酒屋，深受在地民眾喜愛，詳情可察看下方網友食記。,11:30~14:00、17:00~21:00,Felicita幸福無限創意可頌專賣店,#ramentw #台灣拉麵愛好會 #拉麵 #限定,Stars Yang - 柚香鹽味   http://bit.ly/39XAN1z   何浩然 - 醣心蛋雞白湯拉麵   http://bit.ly/2m088W5   
京正拉麵-興華店,700台南市中西區興華街25號,開業於2012年8月10日，隱藏在巷弄中的拉麵店，別於一般拉麵店，我們走的是較為現代極簡風格，希望帶給你更特別的感受！自家熬製大骨高湯，天然食材保證！,週一~五 11:30~21:30週六~日 11:00~22:00,台南啟聰學校，3、紅幹線公車，縣知事官邸站下車,#ramentw #台灣拉麵愛好會,Chih-Hung Weng - 味噌豚骨拉麵   https://bit.ly/2G9pt8x   Wen Hsiang Wang - 濃厚拉麵   https://bit.ly/2GaH5kn   
京正拉麵-育樂店,701台南市東區育樂街109號,開業於2015年1月1日，我們走的是較為現代極簡風格，希望帶給你更特別的感受！自家熬製大骨高湯，天然食材保證！,週一~五 11:30~21:30週六~日 11:00~22:00,遠東百貨公司台南成功店，台南後火車站,#ramentw #台灣拉麵愛好會,無   
獅神拉麵,708台南市安平區湖內一街26號,開業於2018年11月，以豚骨、雞湯做為主軸，詳情可察看下方網友食記。,17:30–22:00週一、四 公休,湖內一街,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞湯,由你來寫第一篇   
元町家 橫濱家系拉麵,600嘉義市東區忠孝路600號,開業於2019年11月，位於耐斯廣場B1F，是嘉義當地的橫濱家系拉麵，詳情可察看下方網友食記。,11:00~21:30,耐斯廣場,#ramentw #台灣拉麵愛好會 #拉麵 #家系,王邦任 - 醬油拉麵   http://bit.ly/2SM1u3u   
山崎拉麵,600嘉義市西區國華街248號,開業於2012年10月27日，前日商社長山崎龍二原本是開可樂餅，後來2014年12月11日擴大成山崎お食事処，是日本原汁原味的拉麵店，另外有賣烏龍麵和關東煮。,週一、週三-週五 16:30-21:00週六-週日 12:00-21:00週二 休息,中正公園，陳澄波紀念館,#ramentw #台灣拉麵愛好會 #拉麵,Weight Wang - 味噌拉麵   https://bit.ly/2RILZ9J   容君緋 - 香蔥辛味噌拉麵+味噌拉麵+黑豚骨拉麵   https://bit.ly/2E6aauO   
赤野拉麵,600嘉義市西區國華街137號,開業於2016年1月4日，主打豚骨湯頭，屬平實價位，詳情參閱下方麵友食記。,週一-週日 11:00-14:00、17:00-21:00,嘉義市朝天宫或文化公園,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Stars Yang - 豚骨大蒜拉麵   https://bit.ly/2RJ5i2z   李偉煥 - 豚骨拉麵   https://bit.ly/2QCIa8I   
一榮拉麵,700台南市中西區郡緯街1號,開業於2019年6月，以豚骨湯為主的拉麵店，詳情可察看下方網友食記。,11:00–14:00、17:00–21:00,郡緯街／Nani麵,#ramentw #台灣拉麵愛好會,吳俊青 - 一榮拉麵   http://bit.ly/32ObvQV   王智昊 - 一榮拉麵   http://bit.ly/2Zmk9Ug   
金屋拉麵,701台南市東區府連東路3號,開業於2019年5月，以豚骨湯為主的淡麗系台式拉麵，該店的主要客群是針對愛好CP值的客人，詳情可察看下方網友食記。,1100-1400、1700-2100週一 店休,冒煙的喬,#ramentw #台灣拉麵愛好會 #拉麵,雲劍 - 豚骨拉麵   http://bit.ly/2GFsbR1   
