name,address,characteristics,time,transport,tags,reference
山嵐拉麵-一中分店,404台中市北區錦新街90巷2號,山嵐在台中開設的首家分店，開幕於2018年11月，位於台中一中街商圈附近，主打北海道豚骨白湯，亦深受當地學生族群的喜愛。,週日~四 11:30~14:30、17:30~21:00週五~六 11:30~14:30、17:30~21:30週一 公休,錦新街／益民一中商圈,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #豚骨魚介 #辣味 #2019金賞,姿婷王 - 白湯豚骨／赤湯豚骨   https://bit.ly/3689RvY   Is Amy - 白系豚骨   https://bit.ly/3kiBmbX   蔡旻原 - 海湯拉麵   https://bit.ly/3jU8u97   
東京醬油拉麵超極丸,403台中市西區明義街50號,開幕於2018年7月，是台中首家以東京醬油為名號的店家，首推濃湯醬油SP，詳情請見下方食記。,11:30~14:30、17:00~21:30,廣三SOGO,#ramentw #台灣拉麵愛好會 #拉麵 #醬油 #豚清 ,吳俊青 - 濃湯醬油SP   http://bit.ly/2x8IEIy   
ラーメン凪 Ramen Nagi-台中店,407台中市西屯區河南路三段120號3樓,用拉麵跟全世界交朋友『ラーメン凪(Nagi)』豚骨拉麵在日本連年獲TRY拉麵大賞與各大拉麵評鑑冠軍，生田主廚憑藉著對拉麵的熱誠，堅持Nagi Spirit is a bridge to the world精神，希望能藉由Nagi讓全世界都愛上日本拉麵。經典四大天王 - 豚王、赤王、翠王、黑王，款款迷人，各擅勝場！每週限定王 - 每週推出一種口味拉麵，讓人驚喜,11:00~22:00 (L.O 21:30),老虎城,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定 #2019名店,洪宥名 - 赤王   https://bit.ly/32m7y6t   大頭小寶 - 麥迪王 乾+湯   https://bit.ly/3173gRw   Sky Walker - 綠咖哩王(限定   https://bit.ly/3cF2r4   
麵屋六花,404台中市北區學士路236巷2號,於2016年4月11日正式營運。位於住宅區的小店，座位僅十席，外觀不起眼，內部裝潢風格卻讓人印象深刻，鄰近學區，擁有高人氣，大多麵友推薦本店的豚骨湯，詳情請見下方食記。,11:30~14:30、17:30~23:00,正忠排骨飯,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞豚湯 #雞清湯,吳俊青 - 塩ラーメン   https://bit.ly/2nJfDOE   Sky Walker - 花椒豚骨拉麵   https://bit.ly/2KVankd   韓璐彼 - 雞豚拉麵   https://bit.ly/2vPsfs5   
麵屋武藏-台中首店,407台中市西屯區台灣大道四段1038號2,"來自日本的品牌，在日本是""動物系""加上""魚介系""雙湯頭的創始名店。台中店延續日本雙湯頭的特色，台中店的特色是雞豚雙湯頭，加上粗麵以及豪邁的大塊炙燒叉燒，為台灣拉麵風潮的開拓者之一，也是屬於深夜食堂之中的名店。",週日-四 11:00~21:30(L.O 21:00)週五-六 11:00~22:00(L.O 21:30),澄清醫院,#ramentw #台灣拉麵愛好會 #拉麵 #雞豚 #雞豚魚介 #加麵一球免費,朱禾 - 創始の味拉麵   https://bit.ly/36OPMuH   Sky Walker - 五輪洞黑醋角煮拉麵   https://bit.ly/2GQznx5   王人寬 - 味玉炙燒角煮叉燒拉麵   https://bit.ly/33BJ6zZ   
拉麵小店 らー麺 華美 麵屋聚,400台中市中區成功路404號,原拉麵小店 らー麺 華美，而後更名麵屋聚，主打豚骨湯頭，價格平實，深受在地顧客喜愛。詳情請見下方食記。,17:30~23:00週三、四 公休,中華路、成功路交叉口,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #豚濃  #限定,李德威 - 限定 新加坡司令風鹽味清雞湯   https://bit.ly/33bhSzt   黃皓哲 - 新加坡司令風鹽味清雞湯   https://bit.ly/39khUZP   顏正宇-新加坡司令風鹽味清雞湯   https://bit.ly/3kXzdlu   
Kitaho 北穗製麵所,403台中市西區公益路124巷2號,此店於2020年4月1日開業，主打以雞湯為主的拉麵店，使用紫蘇香味食材是其特色，詳情可察看下方網友食記。,11:30~14:00、17:00~20:30週四 公休,勤美誠品綠園道／公益路,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #雞清 #紫蘇,Shao Hua Lü - 干貝之海 清湯   https://bit.ly/2RERg4c   林伯駿 - 北穗紫蘇雞白湯＼極品黃金鹽味   http://bit.ly/2FpjedW   劉冠麟 - 北穗紫蘇雞白湯   http://bit.ly/2XwpZoz   
暴走中村,406台中市北屯區漢口路五段51號,於2020年3月開業，本店位置在漢口路五段51號號停車場內，老闆曾在大阪的 ばっこ志 修業，在Tabelog評分為3.68，主打以雞白湯為主的拉麵店，詳情可察看下方網友食記。,18:00~22:00週三 公休,漢口路,#ramentw #台灣拉麵愛好會 #拉麵 #雞清 #雞白 #鰹雞白 #限定,李元傑 - 極濃激雞湯   https://bit.ly/3lXIwD2   鄭傑瑞 - 超濃雞魚介沾麵   https://bit.ly/30K2gRe   盧軒偉 - 辣辣雞白湯拉麵   https://bit.ly/2SxSI8V   
千勝軒らーめん,40343台中市西區三民路一段29號1樓,開業於2019年7月，詳情可察看下方網友食記。,12:00-14:0017:30-21:00(last order21:30),金立大咖啡／五權車站,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Odie Peng - 鹽味豚骨拉麵、熟成味噌豚骨   https://bit.ly/2K5TjKm   Odie Peng - 豚骨拉麵／魚介豚骨   http://bit.ly/2lIKQDK   林伯駿 - 辛味味噌   http://bit.ly/2klYAUV   
銀座篝,435台中市梧棲區臺灣大道十段168號,開幕於2018年12月，位於台中三井OUTLET美食街，本店為銀座篝在台灣首店，將銀座居民深受喜愛的雞白湯原湯空運到台灣，不容錯過。自2020年9月起，改全新菜單，並販售豚骨拉麵與麵友們同享。,11:00~21:00(平日)10:30~21:00(假日),三井OUTLET美食街,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #豚骨 #限定 #米其林,王國龍 - 雞白湯soba   http://bit.ly/2HnfafB   
渡山樓,403台中市西區公正路170號,開業於2019年6月，是原KIDO老闆的店，湯頭是以雞濃白湯為主體，詳情可察看下方網友食記。,週一~五 11:30~13:30、17:30~21:00週六~日 11:30~14:00、17:30~21:30週四 公休,飪室咖哩,#ramentw #台灣拉麵愛好會 #拉麵 #雞白湯 #限定,曾秋和 - 雞豚選特濃   https://bit.ly/3aIwjwB   Chi Chung Yu - 雞豚/濃厚   http://bit.ly/2IMIlc0   林伯駿 - 特濃雞豚   http://bit.ly/2LTIaOS   
嵐田拉麵,500彰化縣彰化市大埔路691號,在彰化地區，當地首屈一指的拉麵店，店家主打豚骨湯頭，並提供杜蘭小麥細麵是其特色，六、日不定期會開放限定與麵友們享用。店內亦陳設無敵鐵金剛公仔牆陳設為其特色。此店深受拉麵迷喜愛，詳情請見下方食記連結。,11:30~13:30，17:30~20:30週二 休息,國稅局彰化分局,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞白湯 #限定,Abby Liu - 濃厚海老拉麵   https://bit.ly/388W6Q7   林子祥 - 醬油雞豚拉麵   https://bit.ly/3ewz9r1   柯承毅 - 鹽味雞湯拉麵   https://bit.ly/2VnreDp   
川澤拉麵,406台中市北屯區梅川東路四段107號,2015年6月開幕，是屬於久留米風格的湯頭，除了湯頭用心之外，無化調也是本店的獨特之處，每週五還有限定的肉男系拉麵，巨大的肉排，讓人印象深刻。,週四-五 17:30–20:30週六-日 11:30–14:00，17:30–20:30週一、二、三 公休,文心國小,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #蝦豚骨 #加麵一球免費 #久留米 #無化調,吳俊青 - 肉男系軟骨排拉麵   http://bit.ly/2MoDd1S   邱彥升 - 玉子豚骨拉麵   http://bit.ly/2PfTPqq   鄭傑瑞 - 川澤拉麵 博多豚骨拉麵 - https://bit.ly/2kejFR8   
麵屋かとむら　台中一中店,404台中市北區太平路75巷22號,日本麺屋かとむら來台的首間店面，開幕於2018年11月，位於一中商圈內，是台中少見的油拌麵店家，味道醬香麵硬，是標準的東京油拌麵，值得一試。,"週一-五 11:30–14:00, 17:00–21:30週六-日 11:30–22:00",台中公園／一中商圈,#ramentw #台灣拉麵愛好會 #油拌麵,元元 - 極炙豚骨   https://bit.ly/2J4i6ks   陳宏量 - 原味油拌麵/麻辣油拌麵   http://bit.ly/2FBlq4z   周祖旭 - 原味油そば   http://bit.ly/2Ea3XNB   
拉麺酒場 博多豚箱 butabako-華美西街,403台中市西區華美西街一段143號,主打博多系豚骨湯頭店鋪不大，適合深夜小酌道地的餐點，讓人十分喜愛,週一~六 18:00~26:00週日 18:00~23:00,國立自然科學博物館,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,吳俊青 - 招牌豚骨拉麵   http://bit.ly/2PgfzCt   
麵吉祥（豐拉麵）,403台中市西區樂群街381號,粉專建立於2014年4月，原豐拉麵，後改名為麵吉祥。本店的味道以豚骨湯為主軸，平價美味深受在地顧客喜愛，不定時會出現意外的餐點以饗麵友們的味蕾，詳情請見下方食記。,18:00~20:00週一 公休,樂群街,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,趙嘉宏 - 豚骨醬油   http://bit.ly/390fw7c   林伯駿 - 赤味噌   http://bit.ly/32rtBbx   
五之神水產,435台中市梧棲區臺灣大道十段168號,開幕於2018年12月，位於台中三井OUTLET美食街，是屬於五之神製作所在台灣的第二家店，繼主打台灣本產石斑魚湯頭之外，第二波主打鮪魚湯頭拉麵，深受魚介系湯頭的愛好者喜愛。,11:00–21:00,三井OUTLET美食街,#ramentw #台灣拉麵愛好會 #拉麵 #魚介,黃楠棠 - 蝦豚骨拉麵   http://bit.ly/2VuA6VI   
富士山55沾麵二號店,無提供地址資訊,源自日本名古屋的富士山55沾麵，由社長『澤竜一郎』領軍。本月開幕於2018年10月，是主打沾麵的專賣店，沾麵可以煮粥是其最大特色。,週一至週五 11:00–14:30、17:30–21:00週六至週日 11:00–21:00,屋馬燒肉文心店,#ramentw #台灣拉麵愛好會 #沾麵 #拉麵 #雞湯,Candy Yang - 牛介沾麵   
麵屋三金,500彰化縣彰化市介壽北路247號,主打雞湯的專賣店，在彰化地區擁有極高人氣營業時間較少，需要特別注意,11:30–14:00 17:00–20:00週日 休息,彰化高中、彰化高商,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯,Queena Peng - 味玉濃厚雞湯麵   https://bit.ly/2BV3lfZ   張酉虎 - 味玉濃厚雞湯麵、雞汁拌麵   https://bit.ly/2NtNWVs   林子祥 - 味玉濃厚雞湯麵、麻辣拌麵   https://bit.ly/2ogpvzG   
花月嵐拉麵 台中中友店,404台中市北區三民路三段161號B3,主打為大蒜拳骨拉麵，全台分店眾多且口味穩定一致，至今仍不斷推出許多限定拉麵是特色之一。桌上配菜辣韭菜是相當受到喜愛，炒飯更是麵友推薦必點項目，所以又有炒飯才是本體的傳說。,週一-五 11:00–22:00週六-日 10:30–22:00,中友百貨,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,花王劉 - 海老出汁拉麵   http://bit.ly/2JI3ths   林致群 - 大蒜拳骨拉麵   http://bit.ly/2uLLdyo   
花月嵐拉麵 台中清水店,436台中市清水區吳厝二街89號2 樓,本店位於清水休息站2樓。主打為大蒜拳骨拉麵，全台分店眾多且口味穩定一致，至今仍不斷推出許多限定拉麵是特色之一。桌上配菜辣韭菜是相當受到喜愛，炒飯更是麵友推薦必點項目，所以又有炒飯才是本體的傳說。,週一~五 11:00~21:00週六~日 10:30~21:30,清水休息站,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,花王劉 - 海老出汁拉麵   http://bit.ly/2JI3ths   林致群 - 大蒜拳骨拉麵   http://bit.ly/2uLLdyo   
花月嵐拉麵 新光中港店,407台中市西屯區台灣大道三段301號,本店位於新光三越中港店12樓。主打為大蒜拳骨拉麵，全台分店眾多且口味穩定一致，至今仍不斷推出許多限定拉麵是特色之一。桌上配菜辣韭菜是相當受到喜愛，炒飯更是麵友推薦必點項目，所以又有炒飯才是本體的傳說。, 11:00~22:00,新光三越中港店,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,花王劉 - 海老出汁拉麵   http://bit.ly/2JI3ths   林致群 - 大蒜拳骨拉麵   http://bit.ly/2uLLdyo   
東江風-風風亭拉麵,434台中市龍井區藝術南街34號,隱身於東海藝術街的巷弄中外觀十分不起眼卻是當地首屈一指的老店,12:00~14:30、17:30~20:30週一 休息,東海大學,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Candy Yang - 擔擔拉麵   http://bit.ly/2MkIh7E   高翊禎 - 豚骨拉麵   http://bit.ly/2L32hpE   
升龍軒ラーメン,403台中市西區精誠路389號,於2017年5月10日開幕，為原 升龍拉麵的二店。此店《升龍軒》為中華拉麵專賣，以雞湯為主體，除強棒拉麵外，不定期推出結合異國風味的餐點，活化餐點創意，詳情請見下方食記連結。,週二~四 17:30~22:00週五~日 11:30~13:30、17:30~22:00周一 公休,大忠公園,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯,Jimmy Lai - 鹽味雞湯拉麵   https://bit.ly/3nxTUWD   吳俊青 - 鹽味雞湯拉麵   https://bit.ly/2nLlDGy   
Ramen & Izakaya 空海拉麵-大隆店,407台中市西屯區大隆路140號,本店於2020年9月15日重新裝潢後試營運，命名來源自於空海二字代表「空氣」和「海洋」。兩位創辦人名字中，都有「火」和「土」的元素，為達到四大元素的平衡，他們決定以名字中缺少的元素為店名。十分有趣。本店是以豚骨為主體。詳情請見下方食記。,11:30~15:00，17:30~21:00(L.O 14:30、20:30),台中市政府,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,吳俊青 - 柚香鹽味拉麵   http://bit.ly/2wbcueq   張瑋民 - 誠實套餐   http://bit.ly/2KWVrSF   Romeo Lee - 雙倍特濃蒜香醬油豚骨拉麵   http://bit.ly/2MWrtQz   
麵屋虎徹-逢甲店,407台中市西屯區福星北路57號,鄰近學區，裝潢霸氣，甚至有包廂座位皆有USB充電座，堪稱一絕,11:30~14:00，17:00~21:30,逢甲大學,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,吳俊青 - 特製虎徹拉麵   http://bit.ly/2MWbsdt   徐尚聿 - 特製虎徹拉麵   http://bit.ly/2Mo2clV   Daxon Tsai - 特製虎徹拉麵   http://bit.ly/2MoAJ3G   
原山拉麵,500彰化縣彰化市南郭路一段173號,開幕於2020年1月1日，店主之前在麵屋秋鳴修業，後續開設此店，本店以鴨湯為主軸，詳情可察看下方網友食記。,11:30~13:30、16:30~2100,大薇百貨,#ramentw #台灣拉麵愛好會 #拉麵 #鴨清 #鴨白,柯承毅 - 鴨清鹽味拉麵   https://bit.ly/2xpKtnP   劉季嵐 - 鴨白女湯拉麵   http://bit.ly/38KIHu5   
火曜二代目ラーメン,403台中市西區柳川西路二段192號,本店位於柳川旁。以豚湯為主體。曜曜子也是主體，是台中首屈一指的拉麵美術風格，繪畫風格深受拉麵迷喜愛，詳情請見下方食記連結。,週一~五 11:30~14:00，17:30~22:00週六~日 17:15~23:00,柳川西路,#ramentw #台灣拉麵愛好會 #豚骨 #拉麵,由你來寫第一篇   
盡心亭Heart&soul,404台中市北區五常街60號,鄰近學區，即使在巷弄中，也有高人氣店內還有自助的熱麥茶及小菜,11:30~14:00、17:30~21:00週一 休息,中國醫藥大學,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,吳俊青 - 鹽味拉麵   http://bit.ly/2L4qagC   楊鎧粲 - 限定豚骨味噌拉麵   http://bit.ly/2vRrCy6   
山形心心總店-台中逢甲店,407台中市西屯區文華路71號,此店位於逢甲歡樂星內。將製麵者的心跟客人的心連繫在一起，為紀念此願景日本山形總店取名為心心，在台灣也希望能用此日本傳統精神將日本跟台灣人的心彼此更加靠近，故與日本總店取同名。,週日~週五 17:00 - 23:00週六  17:00 - 25:00,逄甲夜市／逢甲歡樂星,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #二郎風,楊德輝 - 辛味噌拉麵   https://bit.ly/2MOnHdw   林小逼 - 魚豚野郎(中)   https://bit.ly/2MrYVBz   Candy Yang - 魚豚野郎(大)   https://bit.ly/2Ma1FE2   
同拉麵 文心店,407台中市西屯區文心路三段91號,營業時間極晚，是其特色餐點種類繁雜，用餐環境舒適,17:30~26:30,惠來國小,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,吳俊青 - 豚骨拉麵+綜合叉燒   http://bit.ly/2vQVlHv   Yoanna Lu - 味神拉麵   http://bit.ly/2L1pets   
麵處小林-員林店,510彰化縣員林市三民東街279號,"主打豚骨湯頭的店家濃厚系湯頭名為""水泥""適合喜好濃厚的麵友",週二-五 17:30–21:00週六 -日 11:30–14:00 17:30–21:00週一 休息,員林國小,#ramentw #台灣拉麵愛好會 #拉麵,Nerdy Chang - 中華豚骨白湯   https://bit.ly/2YoxP3c   陳瓊雯 - 中華豚骨、雞白拉麵、水泥拉麵   https://bit.ly/2LzZuEG   Chen Qiong-Wen - 水泥拉麵   https://bit.ly/2wy184q   紀宏儒 - 豚骨魚介拉麵   https://bit.ly/2Pgndw3   
屯京拉麵-台中港店,435台中市梧棲區臺灣大道十段168號,本店開幕於2018年12月，位於台中三井OUTLET。1992年源自東京池袋開店，主打是以豬大骨為基礎，加上雞腳等素材，再調入特製秘方的香濃醬油所組成的東京豚骨拉麵。主打平價及CP值，香酥的炸雞也是該店的一大特色。,11:00–21:00,三井OUTLET2F,#ramentw #台灣拉麵愛好會 #豚骨 #拉麵 #沾麵 #2019名店,YenYu Chen - 魚介叉燒拉麵   http://bit.ly/2mwBYi0   許嘉欽 - 超值東京豚骨拉麵   http://bit.ly/2Lctuv6   
屯京拉麵-台中誠品店,403台中市西區公益路68號,本店位於台中勤美誠品綠園道 B1。1992年源自東京池袋開店，主打是以豬大骨為基礎，加上雞腳等素材，再調入特製秘方的香濃醬油所組成的東京豚骨拉麵。主打平價及CP值，香酥的炸雞也是該店的一大特色。,11:00–21:00,勤美誠品綠園道 B1,#ramentw #台灣拉麵愛好會 #豚骨 #拉麵 #沾麵 #2019名店,YenYu Chen - 魚介叉燒拉麵   http://bit.ly/2mwBYi0   許嘉欽 - 超值東京豚骨拉麵   http://bit.ly/2Lctuv6   
Kido拉麵,40652台中市北屯區昌平路一段226號,店主曾到日本學藝，之後在蔦修業，以低價為訴求，於2018年7月5日以屋台形式開幕營運，雞湯體平實順口，不時會研發新口味，詳情請見下方食記連結。,17:30~24:30週一 休息,文昌國小,#ramentw #台灣拉麵愛好會 #拉麵 #雞白湯 #雞清湯,吳俊青 - 雞白湯／塩味拉麵   https://bit.ly/2PgNTgH   
いけっ麺 ラーメン専門店 i ke man ramen,437台中市大甲區水源路2-16號,開業於2017年6月，是以豚骨系與魚介系為主的拉麵店，亦有販售沾麵，深受在地民眾喜愛，詳情可察看下方網友食記。,週一  17:30~20:30週三~日 11:30~13:30、17:30~20:30週二 公休,大甲高中,#ramentw #台灣拉麵愛好會 #豚骨 #魚介豚骨 #拉麵 #沾麵,ChanHua Chang - 濃厚魚介沾麵   https://bit.ly/2VGgiSW   Youzai Shenghuo - 招牌豚骨拉麵   http://bit.ly/38cQQbB   
埔里 橫濱拉麵,545南投縣埔里鎮東華路95-1號,擁有台灣拉麵界第一大的停車場方便好停車...要甩尾進場都沒問題!!!,11:30~14:30、17:00~21:00,東華路,#ramentw #台灣拉麵愛好會 #拉麵,吳俊青 - 豚骨拉麵   http://bit.ly/2ywpc9F   Youzai Shenghuo - 坦克拉麵   http://bit.ly/2OysXFt   
麵屋hiro,407台中市西屯區文華路162巷7號,於2019年6月營運，並遷移至現址開業，是以豚骨湯為主的拉麵店，詳情可察看下方網友食記。,17:00~2200,逢甲商圈,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨, 無   
麵屋hiro-日新店,400台中市中區民族路198號,於2019年7月開業，是以豚骨湯為主的拉麵店，詳情可察看下方網友食記。,週二-五 12:00~14:00、17:00~23:00週六-日 12:00~23:00週一  公休,日新戲院,#ramentw #台灣拉麵愛好會 #豚骨,目前尚無食記。   
川田屋 日式豚骨專賣店,407台中市西屯區文華路151號,粉專建立於2017年12月，是以昆布蔬菜進行熬制的湯底，有時亦有豚骨湯可享用，是屬於在地的平價小店，詳情可察看下方網友食記。,週一-五 11:00-14:00、17:00-21:00週六'-日 17:00-21:00,逢甲夜市,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,由你來寫第一篇   
